1,Unnamed: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Unnamed: 45,Business/ Mgmt.,-,23.8,15.8,29.0,19.0,24.9,26.0,27.4,13.7,29.6,4.7,-,17.4,-,-,18.2,21.5,19.0,15.5,-,28.2,17.1,16.4,22.1,20.9,21.4,15.1,17.7,29.3,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Unnamed: 46,Education,-,1.9,6.9,1.7,2.6,0.9,1.6,1.0,0.5,2.0,1.3,-,2.4,-,-,2.2,3.3,1.0,1.7,-,1.9,2.8,3.1,2.1,3.8,2.2,3.7,3.2,2.2,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Unnamed: 47,Engineering*,-,11.2,7.5,19.2,13.5,11.6,7.9,6.5,35.6,15.6,55.2,-,3.7,-,-,28.4,17.0,20.3,24.1,-,6.8,21.1,10.8,13.1,16.6,17.3,25.1,4.5,14.8,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Unnamed: 48,Fine/ Applied Arts,-,8.9,8.8,4.9,8.9,6.6,4.2,10.3,1.7,9.5,5.4,-,8.1,-,-,4.3,8.9,1.5,2.3,-,9.4,2.1,13.4,9.3,12.9,10.1,5.7,8.6,8.4,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Unnamed: 49,Health Professions*,-,3.1,15.0,1.3,2.3,1.5,2.3,3.4,4.7,2.3,2.3,-,2.8,-,-,2.9,2.9,9.4,12.5,-,2.5,5.6,5.0,2.1,3.6,4.1,0.7,4.0,2.7,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Unnamed: 50,Humanities,-,3.4,4.1,1.0,5.5,6.9,6.9,3.0,0.5,1.7,1.0,-,5.8,-,-,1.7,3.4,1.1,2.3,-,5.0,1.5,4.1,11.2,2.1,1.4,2.7,6.6,2.1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Unnamed: 51,Intensive English,-,2.7,0.1,3.2,7.0,1.4,0.9,2.5,0.1,1.2,1.6,-,14.6,-,-,0.1,2.7,0.1,0.2,-,1.9,27.2,4.5,2.2,3.7,3.7,3.5,0.1,10.2,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Unnamed: 52,Math/ Computer Science*,-,3.8,2.6,11.2,3.3,5.7,3.1,5.7,23.1,5.1,9.6,-,2.2,-,-,8.0,4.0,11.9,7.4,-,7.4,7.4,4.9,3.7,6.7,7.0,9.6,2.9,3.4,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Unnamed: 53,Physical/ Life Sciences*,-,6.0,8.5,8.8,9.7,5.2,8.2,6.0,11.2,5.3,10.5,-,4.8,-,-,11.8,6.5,19.6,13.0,-,11.5,4.0,7.0,4.8,10.6,9.0,8.6,7.3,4.8,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Unnamed: 54,Social Sciences,-,9.3,13.0,8.2,11.7,9.9,14.1,15.0,3.5,9.8,3.6,-,11.5,-,-,9.8,10.5,5.5,7.9,-,11.3,2.7,12.4,8.5,7.1,7.0,13.5,18.1,6.9,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Unnamed: 55,Other Fields of Study,-,19.2,14.6,9.0,13.0,19.5,17.9,14.6,4.6,12.6,4.2,-,22.1,-,-,10.3,14.0,7.6,9.0,-,11.4,5.8,15.1,16.3,9.9,13.9,9.8,20.9,11.2,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
